"3302055001DO001_20112013 Life Tables, States, Territories and Australia, 2011-2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,BMI,<25...14,2529...15,3034...16,3539...17,40+...18,<25...19,2529...20,3034...21,3539...22,40+...23,<25...24,2529...25,3034...26,3539...27,40+...28,<25...29,2529...30,3034...31,3539...32,40+...33
Released at 11:30 am (Canberra time) Thurs 6 Nov 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HR for BMI,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005,1,1.3,1.6900000000000002,2.1970000000000005,2.8561000000000005
"Table 1.9 Life Tables, Australia, 2011–2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prevalence,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2,0.246,0.45200000000000001,0.20699999999999999,6.6000000000000003E-2,2.9000000000000001E-2
NA,Males,NA,NA,NA,Females,NA,NA,NA,NA,NA,NA,HR for low SEP,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1,1,1,1,1,1.39,1.39,1.39,1.39,1.39
NA,lx,qx,Lx,ex,lx,qx,Lx,ex,NA,qx,NA,Prevalence,0.52600000000000002,0.56699999999999995,0.47699999999999998,0.45,0.59199999999999997,NA,NA,NA,NA,NA,0.52600000000000002,0.56699999999999995,0.47699999999999998,0.45,0.59199999999999997,NA,NA,NA,NA,NA
Age,no.,rate,no.,years,no.,rate,no.,years,NA,male,female,NA,male_sep1_bmi0,male_sep1_bmi1,male_sep1_bmi2,male_sep1_bmi3,male_sep1_bmi4,male_sep0_bmi0,male_sep0_bmi1,male_sep0_bmi2,male_sep0_bmi3,male_sep0_bmi4,female_sep1_bmi0,female_sep1_bmi1,female_sep1_bmi2,female_sep1_bmi3,female_sep1_bmi4,female_sep0_bmi0,female_sep0_bmi1,female_sep0_bmi2,female_sep0_bmi3,female_sep0_bmi4
0,100000,4.1999999999999997E-3,99625,80.099999999999994,100000,3.3300000000000001E-3,99703,84.3,NA,4.1999999999999997E-3,3.3300000000000001E-3,NA,2.5117450690718629E-3,3.265268589793422E-3,4.2448491667314492E-3,5.518303916750884E-3,7.1737950917761494E-3,3.4913256460098892E-3,4.5387233398128564E-3,5.9003403417567137E-3,7.6704424442837283E-3,9.9715751775688467E-3,2.3595953938713868E-3,3.0674740120328029E-3,3.987716215642644E-3,5.1840310803354384E-3,6.7392404044360693E-3,3.2798375974812275E-3,4.2637888767255959E-3,5.542925539743275E-3,7.2058032016662586E-3,9.3675441621661349E-3
1,99580,3.5E-4,99561,79.400000000000006,99667,2.5999999999999998E-4,99653,83.6,NA,3.5E-4,2.5999999999999998E-4,NA,2.0931208908932193E-4,2.7210571581611854E-4,3.537374305609541E-4,4.5985865972924037E-4,5.9781625764801245E-4,2.9094380383415744E-4,3.782269449844047E-4,4.9169502847972607E-4,6.3920353702364406E-4,8.3096459813073722E-4,1.8423267339536353E-4,2.3950247541397259E-4,3.113532180381644E-4,4.0475918344961377E-4,5.261869384844979E-4,2.5608341601955528E-4,3.3290844082542188E-4,4.3278097307304848E-4,5.6261526499496307E-4,7.3139984449345193E-4
2,99545,1.9000000000000001E-4,99535,78.400000000000006,99641,1.6000000000000001E-4,99632,82.6,NA,1.9000000000000001E-4,1.6000000000000001E-4,NA,1.1362656264848906E-4,1.4771453144303578E-4,1.9202889087594654E-4,2.4963755813873053E-4,3.2452882558034967E-4,1.5794092208139978E-4,2.0532319870581971E-4,2.6692015831756568E-4,3.4699620581283538E-4,4.5109506755668598E-4,1.1337395285868527E-4,1.4738613871629084E-4,1.9160198033117812E-4,2.490825744305316E-4,3.2380734675969107E-4,1.5758979447357251E-4,2.0486673281564427E-4,2.6632675266033759E-4,3.4622477845843889E-4,4.5009221199597056E-4
3,99527,1.3999999999999999E-4,99519,77.400000000000006,99625,1.2E-4,99619,81.599999999999994,NA,1.3999999999999999E-4,1.2E-4,NA,8.3724835635728758E-5,1.0884228632644739E-4,1.4149497222438161E-4,1.8394346389169613E-4,2.3912650305920496E-4,1.1637752153366296E-4,1.5129077799376186E-4,1.9667801139189043E-4,2.5568141480945757E-4,3.3238583925229487E-4,8.5030464644013942E-5,1.1053960403721813E-4,1.4370148524838359E-4,1.8681193082289868E-4,2.4285551006976826E-4,1.1819234585517937E-4,1.536500496117332E-4,1.9974506449525317E-4,2.5966858384382914E-4,3.3756915899697788E-4
4,99512,1.2E-4,99506,76.400000000000006,99613,1E-4,99608,80.7,NA,1.2E-4,1E-4,NA,7.1764144830624665E-5,9.3293388279812073E-5,1.212814047637557E-4,1.5766582619288242E-4,2.0496557405074714E-4,9.9752161314568274E-5,1.2967780970893876E-4,1.685811526216204E-4,2.1915549840810655E-4,2.849021479305385E-4,7.0858720536678288E-5,9.2116336697681777E-5,1.1975123770698632E-4,1.5567660901908223E-4,2.0237959172480688E-4,9.8493621545982807E-5,1.2804170800977767E-4,1.6645422041271097E-4,2.1639048653652426E-4,2.8130763249748154E-4
